Fold,Accuracy,Precision,Recall,F1,AUC
Fold 1,0.9445,0.950354609929078,0.938,0.9441368897835933,0.98593
Fold 2,0.946,0.9321705426356589,0.962,0.9468503937007874,0.9874590000000001
Fold 3,0.9545,0.9567839195979899,0.952,0.9543859649122807,0.99082
Fold 4,0.9495,0.9446092977250248,0.955,0.9497762307309796,0.9892029999999998
Fold 5,0.949,0.949,0.949,0.949,0.989078
